Mitglieder des Kleinen Raths.
MHJunker Hans Reinhard, Amts-Burgermeister.
MHJunker David Wyß, Burgermeister.
MHJunker Hs. Conrad Escher, Rathsherr und Alt-Burgermeister.
MHHerr Paulus Usteri, M. D. und Rathsherr.
MHHerr Hs. Jacob Pestalutz, Rathsherr.
MHHerr Rudolf Rebmann, Rathsherr.
MHHerr Hs. Conrad Finßler, Rathsherr und General. Quartiermeister.
MHHerr Diethelm Lavater, M. D. und Rathsherr.
MHHerr Hs. Jacob Hirzel, Rathsherr.
MHHerr Hs. Caspar Schinz, Rathsherr.
MHHerr David Vogel, Rathsherr.
MHHerr Hs. Caspar Pfenninger, Rathsherr.
MHHerr Hs. Conrad Escher, Rathsherr.
MHHerr Salomon Rahn, Rahtsherr.
MHJunker Hs. Conrad Meiß, Rathsherr u: Oberst.
MHHerr Carl Emanuel Steiner, M. D. u: Rathsherr.
MHHerr Caspar Ott an der Thorgaß, Rathsherr.
MHJunker Joh. Heinrich Grebel, Rathsherr.
MHJunker Ludwig Meyer von Knonau, Rathsherr.
MHHerr Heinrich Homberger, Rathsherr.
MHHerr Joh. Heinrich Landolt, Rathsherr.
MHHerr Joh. Conrad Ott, Rathsherr.
MHHerr Hs. Jacob Füßli, Rathsherr und Oberst.
MHHerr Martin Usteri, Rathsherr.
